Time,Price,Volume
1775606906.00443,3770,2865200
1775606908.01192,3760,3060800
1775606910.01967,3768,3124200
1775606912.04215,3768,3165200
1775606914.0635,3770,3200500
1775606916.07899,3768,3220200
1775606918.07965,3763,3229400
1775606920.07971,3769,3251800
1775606922.08162,3771,3309200
1775606924.08671,3769,3368100
1775606926.09483,3773,3387200
1775606928.11736,3776,3440500
1775606930.13473,3777,3928900
1775606932.13628,3777,3963900
1775606934.14221,3777,4035200
1775606936.16833,3777,4037000
1775606938.182,3773,4117000
1775606940.1838,3775,4128000
1775606942.18919,3779,4216200
1775606944.21085,3780,4262000
1775606946.21178,3778,4265200
1775606948.20498,3767,4322600
1775606950.21907,3754,4415200
1775606952.23184,3750,4439900
1775606954.25014,3751,4486800
1775606956.25223,3750,4495500
1775606958.25316,3754,4563700
1775606960.25669,3756,4585600
1775606962.26608,3756,4601600
1775606964.25542,3756,4638300
1775606966.26684,3756,4674900
1775606968.2961,3754,4705800
1775606970.30971,3752,4743600
1775606972.31409,3749,4767600
1775606974.33677,3749,4790400
1775606976.35534,3747,4800500
1775606978.35817,3746,4820100
1775606980.34593,3742,4869300
1775606982.34554,3742,4892800
1775606984.34584,3740,4915800
1775606986.35984,3743,4960900
1775606988.36124,3735,4999900
1775606990.37696,3734,5009700
1775606992.37948,3734,5029800
1775606994.38162,3735,5080600
1775606996.38267,3737,5112300
1775606998.38461,3736,5153500
1775607000.38463,3733,5172500
1775607002.38571,3734,5184000
1775607004.39096,3736,5203700
1775607006.37697,3740,5251300
1775607008.38453,3747,5308300
1775607010.38983,3759,5396000
1775607012.40146,3760,5422800
1775607014.41618,3758,5444300
1775607016.43231,3749,5471500
1775607018.43336,3750,5490100
1775607020.43744,3752,5500600
1775607022.4418,3751,5515500
1775607024.45687,3754,5526200
1775607026.4751,3755,5541600
1775607028.49256,3757,5556000
1775607030.51182,3754,5578300
1775607032.51568,3755,5610700
1775607034.5057,3755,5631400
1775607036.513,3753,5638100
1775607038.50723,3754,5654900
1775607040.50712,3767,5759700
1775607042.50734,3763,5772400
1775607044.52541,3765,5781800
1775607046.53155,3765,5800400
1775607048.52061,3764,5819800
1775607050.5268,3761,5834900
1775607052.53306,3761,5846400
1775607054.53856,3760,5851300
1775607056.55681,3763,5859300
1775607058.56261,3761,5873000
1775607060.56332,3759,5879200
1775607062.54929,3765,5944100
1775607064.55055,3764,5958400
1775607066.5546,3767,5970500
1775607068.55014,3766,6011100
1775607070.55476,3768,6016200
1775607072.56213,3766,6027100
1775607074.55277,3768,6044500
1775607076.57013,3768,6132500
1775607078.57442,3768,6135900
1775607080.57862,3769,6147900
1775607082.57582,3769,6155900
1775607084.56619,3770,6175900
1775607086.57174,3769,6185600
1775607088.57519,3770,6197300
1775607090.5675,3771,6214800
1775607092.57422,3773,6236500
1775607094.5913,3770,6276000
1775607096.59557,3768,6285600
1775607098.60165,3766,6295200
1775607100.61134,3771,6329000
1775607102.62882,3771,6342500
1775607104.64805,3773,6370700
1775607106.65027,3773,6379900
1775607108.65712,3775,6388200
1775607110.6443,3774,6403500
1775607112.66283,3773,6428700
1775607114.66895,3772,6431900
1775607116.66247,3772,6460300
1775607118.67004,3770,6464500
1775607120.6617,3771,6466700
1775607122.66965,3770,6470300
1775607124.68811,3765,6505800
1775607126.67923,3763,6538300
1775607128.68008,3765,6599200
1775607130.68613,3765,6611400
1775607132.67681,3764,6621700
1775607134.68282,3767,6637300
1775607136.68983,3764,6645600
1775607138.70519,3764,6653500
1775607140.70859,3765,6658000
1775607142.71572,3764,6665100
1775607144.73346,3764,6675000
1775607146.72166,3765,6680100
1775607148.72437,3765,6691600
1775607150.73698,3766,6703500
1775607152.73976,3764,6710900
1775607154.75182,3764,6712400
1775607156.76671,3764,6719900
1775607158.75627,3764,6734400
1775607160.76258,3766,6772200
1775607162.76752,3768,6798400
1775607164.78505,3770,6818700
1775607166.79186,3766,6839900
1775607168.79816,3767,6850500
1775607170.81285,3766,6866800
1775607172.79858,3765,6878900
1775607174.81409,3767,6901900
1775607176.82108,3767,6938900
1775607178.82418,3766,6947600
1775607180.84143,3774,7110600
1775607182.84315,3778,7175100
1775607184.83283,3776,7184500
1775607186.83708,3774,7202000
1775607188.84161,3772,7203800
1775607190.83655,3774,7224700
1775607192.83986,3774,7229900
1775607194.84689,3773,7244800
1775607196.85046,3772,7261600
1775607198.85279,3772,7266300
1775607200.84638,3771,7276300
1775607202.86624,3773,7282000
1775607204.88729,3771,7289300
1775607206.88847,3771,7292000
1775607208.8805,3771,7308000
1775607210.88865,3772,7312000
1775607212.89482,3771,7318500
1775607214.914,3770,7321100
1775607216.93358,3770,7324400
1775607218.95239,3767,7346500
1775607220.95697,3765,7361200
1775607222.97695,3768,7364400
1775607224.97877,3763,7369500
1775607226.97268,3764,7373700
1775607228.97866,3763,7382400
1775607230.97072,3765,7388100
1775607232.98668,3766,7397400
1775607235.00576,3769,7408500
1775607237.00753,3768,7413800
1775607239.02561,3770,7415100
1775607241.04853,3768,7423100
1775607243.06528,3773,7479700
1775607245.07476,3779,7605000
1775607247.06955,3769,7613800
1775607249.0874,3771,7621700
1775607251.10212,3774,7644500
1775607253.11554,3776,7674000
1775607255.13033,3774,7678000
1775607257.14767,3770,7692000
1775607259.15295,3770,7695900
1775607261.16092,3771,7696800
1775607263.18079,3771,7700000
1775607265.18346,3773,7703800
1775607267.18682,3771,7707900
1775607269.18874,3772,7712400
1775607271.21208,3770,7721600
1775607273.22646,3770,7721600
1775607275.22378,3775,7735400
1775607277.22744,3772,7751500
1775607279.24549,3773,7759700
1775607281.26548,3774,7766700
1775607283.2756,3772,7769000
1775607285.29243,3773,7802900
1775607287.30892,3774,7805700
1775607289.30071,3772,7808600
1775607291.30715,3772,7810600
1775607293.31152,3772,7815600
1775607295.30082,3771,7821700
1775607297.31745,3773,7830200
1775607299.31577,3772,7842200
1775607301.32961,3775,7888800
1775607303.33026,3774,7922700
1775607305.33422,3776,7952200
1775607307.34278,3766,8045400
1775607309.32944,3765,8053100
1775607311.33269,3765,8057500
1775607313.33168,3766,8074700
1775607315.34872,3765,8084700
1775607317.36248,3767,8087400
1775607319.38221,3769,8102400
1775607321.38739,3768,8104400
1775607323.37972,3764,8127500
1775607325.3819,3767,8135000
1775607327.39615,3767,8142700
1775607329.3982,3768,8146800
1775607331.41211,3769,8152700
1775607333.43123,3767,8164400
1775607335.43444,3766,8178200
1775607337.43962,3765,8204200
1775607339.44577,3764,8210900
1775607341.45195,3764,8232900
1775607343.46163,3759,8264900
1775607345.4651,3760,8270400
1775607347.45654,3759,8275200
1775607349.45607,3758,8279100
1775607351.46232,3758,8279100
1775607353.4601,3758,8279100
1775607355.46015,3755,8300800
1775607357.46304,3756,8310900
1775607359.46872,3756,8321900
1775607361.46265,3757,8332400
1775607363.47036,3758,8342300
1775607365.47689,3763,8363700
1775607367.47978,3763,8366300
1775607369.48162,3762,8371100
1775607371.4725,3764,8392800
1775607373.47416,3766,8396400
1775607375.48343,3763,8402900
1775607377.47808,3764,8409300
1775607379.48078,3764,8417200
1775607381.4716,3763,8418300
1775607383.49445,3764,8422300
1775607385.4968,3765,8422900
1775607387.48678,3765,8423800
1775607389.50695,3764,8431900
1775607391.51346,3765,8436400
1775607393.51685,3766,8442900
1775607395.52802,3766,8449400
1775607397.53117,3769,8533900
1775607399.53205,3767,8542800
1775607401.52502,3767,8544800
1775607403.52442,3769,8548100
1775607405.53314,3767,8548800
1775607407.55115,3767,8554800
1775607409.5549,3766,8562800
1775607411.57537,3765,8567100
1775607413.57733,3764,8572600
1775607415.56597,3764,8579600
1775607417.57133,3764,8583100
1775607419.58935,3765,8601700
1775607421.58261,3768,8602400
1775607423.58985,3766,8608300
1775607425.5905,3766,8619500
1775607427.5946,3768,8627500
1775607429.61019,3767,8629300
1775607431.61261,3767,8637300
1775607433.62,3766,8638600
1775607435.61178,3767,8642300
1775607437.61868,3766,8645800
1775607439.62857,3766,8649400
1775607441.63127,3768,8670300
1775607443.636,3766,8670800
1775607445.627,3763,8693500
1775607447.63472,3759,8745500
1775607449.6439,3759,8748700
1775607451.63162,3762,8765400
1775607453.64531,3760,8766200
1775607455.6592,3760,8772800
1775607457.67281,3760,8774100
1775607459.66425,3759,8779500
1775607461.671,3758,8789200
1775607463.67638,3756,8800000
1775607465.68453,3757,8803400
1775607467.67437,3756,8804200
1775607469.67719,3755,8827400
1775607471.69467,3754,8835100
1775607473.7057,3755,8883400
1775607475.73012,3757,8886900
1775607477.75101,3756,8887900
1775607479.76549,3757,8892200
1775607481.75198,3756,8897100
1775607483.75654,3754,8935400
1775607485.76002,3755,8945000
1775607487.76216,3760,8957100
1775607489.77305,3757,8962700
1775607491.7781,3758,8962900
1775607493.7832,3756,8965000
1775607495.7895,3755,8982800
1775607497.79821,3754,9001600
1775607499.80208,3757,9082500
1775607501.80464,3759,9107600
1775607503.80617,3760,9109100
1775607505.79933,3762,9117700
1775607507.81672,3760,9132100
1775607509.83397,3760,9134400
1775607511.84971,3764,9152800
1775607513.85604,3762,9161300
1775607515.84834,3761,9163600
1775607517.85618,3762,9173500
1775607519.8625,3760,9186200
1775607521.88087,3760,9188800
1775607523.8961,3761,9194500
1775607525.91274,3760,9204000
1775607527.93774,3763,9211000
1775607529.92957,3764,9216200
1775607531.93722,3762,9223600
1775607533.92389,3760,9224900
1775607535.94399,3761,9242400
1775607537.9645,3762,9247800
1775607539.98058,3771,9441900
1775607541.98899,3772,9452500
1775607544.00976,3772,9464100
1775607546.00244,3773,9472900
1775607548.0017,3778,9627700
1775607550.0022,3777,9656800
1775607552.02069,3778,9658500
1775607554.03832,3776,9689200
1775607556.05676,3773,9720000
1775607558.0635,3772,9730100
1775607560.086,3771,9745900
1775607562.09142,3773,9751500
1775607564.07943,3776,9759900
1775607566.0802,3775,9764700
1775607568.0812,3773,9775300
1775607570.10175,3774,9776200
1775607572.10888,3773,9779800
1775607574.09732,3773,9782700
1775607576.09619,3773,9784100
1775607578.12357,3773,9787600
1775607580.13576,3774,9795900
1775607582.15503,3772,9802500
1775607584.15833,3772,9805500
1775607586.18154,3772,9811100
1775607588.18809,3770,9821600
1775607590.17388,3773,9845900
1775607592.19259,3774,9848100
1775607594.19407,3775,9861700
1775607596.21776,3777,9875900
1775607598.20963,3776,9878600
1775607600.2146,3775,9879800
1775607602.22007,3775,9881500
1775607604.22183,3778,9902100
1775607606.23482,3777,9907200
1775607608.23681,3778,9910500
1775607610.25304,3776,9916100
1775607612.25679,3775,9918300
1775607614.26233,3774,9921200
1775607616.2657,3775,9921800
1775607618.25273,3775,9935400
1775607620.27149,3775,9936300
1775607622.28557,3774,9938500
1775607624.30117,3772,9942000
1775607626.30728,3773,9943600
1775607628.31313,3774,9946700
1775607630.29983,3773,9976400
1775607632.31533,3773,9979000
1775607634.32987,3774,10010400
1775607636.33439,3771,10026200
1775607638.33987,3772,10062600
1775607640.33065,3770,10064700
1775607642.33624,3770,10067700
1775607644.33872,3773,10071900
1775607646.34337,3774,10089700
1775607648.34695,3774,10101000
1775607650.35277,3771,10126600
1775607652.34663,3769,10128400
1775607654.36428,3769,10131400
1775607656.38535,3771,10144800
1775607658.39152,3772,10147800
1775607660.37861,3771,10151900
1775607662.37813,3773,10153800
1775607664.3806,3772,10156600
1775607666.38249,3773,10204900
1775607668.38805,3771,10231400
1775607670.37953,3772,10233000
1775607672.40217,3771,10237800
1775607674.4078,3773,10239300
1775607676.4371,3773,10263100
1775607678.43069,3773,10267800
1775607680.4234,3773,10268900
1775607682.42911,3773,10275800
1775607684.45044,3771,10283100
1775607686.45537,3772,10284700
1775607688.45948,3773,10288300
1775607690.45856,3771,10293500
1775607692.45937,3771,10296800
1775607694.4583,3772,10298700
1775607696.46218,3764,10358100
1775607698.47683,3765,10362400
1775607700.48206,3762,10363600
1775607702.50064,3761,10373200
1775607704.50293,3762,10379100
1775607706.50473,3763,10385000
1775607708.51173,3763,10391400
1775607710.50751,3764,10396200
1775607712.51275,3766,10399400
1775607714.50498,3765,10399800
1775607716.50879,3764,10405000
1775607718.50847,3764,10410600
1775607720.50313,3765,10411500
1775607722.50617,3765,10411900
1775607724.50426,3764,10415500
1775607726.51468,3763,10422600
1775607728.50435,3761,10433200
1775607730.50461,3763,10437300
1775607732.50642,3764,10444700
1775607734.50629,3765,10445000
1775607736.51995,3765,10445400
1775607738.52245,3764,10445700
1775607740.53015,3766,10455500
1775607742.51998,3767,10460400
1775607744.54039,3766,10462200
1775607746.56134,3765,10465800
1775607748.56036,3765,10468700
1775607750.55992,3764,10471700
1775607752.56364,3765,10473900
1775607754.58271,3767,10486000
1775607756.599,3767,10488100
1775607758.60595,3764,10494100
1775607760.61189,3765,10494600
1775607762.63226,3766,10499600
1775607764.63297,3766,10505500
1775607766.63744,3766,10507500
1775607768.62747,3769,10540500
1775607770.64295,3770,10542900
1775607772.65939,3771,10545000
1775607774.67976,3772,10558900
1775607776.70166,3773,10579000
1775607778.70588,3774,10581100
1775607780.72642,3775,10613400
1775607782.74079,3774,10613500
1775607784.75725,3776,10648100
1775607786.76548,3779,10682100
1775607788.75903,3781,10985500
1775607790.75277,3782,10998600
1775607792.7723,3776,11017100
1775607794.7888,3778,11020200
1775607796.78902,3777,11022600
1775607798.81041,3778,11031500
1775607800.7993,3780,11073100
1775607802.80354,3780,11078400
1775607804.82477,3778,11081200
1775607806.8266,3779,11088500
1775607808.83146,3778,11091700
1775607810.83658,3776,11099700
1775607812.85467,3777,11107400
1775607814.84667,3774,11115700
1775607816.85065,3772,11122100
1775607818.84903,3775,11129400
1775607820.85563,3775,11130400
1775607822.86066,3773,11142700
1775607824.8766,3774,11148700
1775607826.87897,3773,11149600
1775607828.89947,3771,11152700
1775607830.91999,3772,11155000
1775607832.92399,3775,11162100
1775607834.92792,3774,11171600
1775607836.93089,3772,11176600
1775607838.93622,3772,11179400
1775607840.92509,3772,11186800
1775607842.94441,3774,11187800
1775607844.96041,3773,11191600
1775607846.96977,3774,11195600
1775607848.96048,3772,11201700
1775607850.97691,3772,11216600
1775607852.97639,3772,11217700
1775607854.99527,3771,11229000
1775607857.00036,3770,11229300
1775607859.00679,3770,11234000
1775607861.02735,3772,11243600
1775607863.03399,3771,11246700
1775607865.05543,3769,11251900
1775607867.07019,3770,11252200
1775607869.08278,3770,11256500
1775607871.08859,3769,11259900
1775607873.10942,3770,11263800
1775607875.09745,3771,11266600
1775607877.12082,3770,11276100
1775607879.12505,3769,11291700
1775607881.14095,3767,11311000
1775607883.13047,3768,11312900
1775607885.13782,3770,11345000
1775607887.14184,3766,11354900
1775607889.14524,3767,11356400
