MAX_TRADE,PERIOD_WARMUP,PERIOD_MA_1,PERIOD_MA_2,PERIOD_RSI,PERIOD_MOM,N_MINUS_MAX,N_POSITION_MIN,LOSSCUT_1,DD_RATIO_MAX,DD_THRESHOLD
200,300,30,300,300,300,300,150,-25,0.25,10
200,300,60,300,300,300,300,150,-25,0.25,10
200,300,90,300,300,300,300,150,-25,0.25,10
200,300,30,300,300,300,600,150,-25,0.25,10
200,300,60,300,300,300,600,150,-25,0.25,10
200,300,90,300,300,300,600,150,-25,0.25,10
200,300,30,300,300,300,900,150,-25,0.25,10
200,300,60,300,300,300,900,150,-25,0.25,10
200,300,90,300,300,300,900,150,-25,0.25,10
200,300,30,300,300,300,300,300,-25,0.25,10
200,300,60,300,300,300,300,300,-25,0.25,10
200,300,90,300,300,300,300,300,-25,0.25,10
200,300,30,300,300,300,600,300,-25,0.25,10
200,300,60,300,300,300,600,300,-25,0.25,10
200,300,90,300,300,300,600,300,-25,0.25,10
200,300,30,300,300,300,900,300,-25,0.25,10
200,300,60,300,300,300,900,300,-25,0.25,10
200,300,90,300,300,300,900,300,-10,0.25,10
200,300,30,300,300,300,300,450,-10,0.25,10
200,300,60,300,300,300,300,450,-10,0.25,10
200,300,90,300,300,300,300,450,-10,0.25,10
200,300,30,300,300,300,600,450,-10,0.25,10
200,300,60,300,300,300,600,450,-10,0.25,10
200,300,90,300,300,300,600,450,-10,0.25,10
200,300,30,300,300,300,900,450,-10,0.25,10
200,300,60,300,300,300,900,450,-10,0.25,10
200,300,90,300,300,300,900,450,-10,0.25,10
200,300,30,300,300,300,300,150,-30,0.25,10
200,300,60,300,300,300,300,150,-30,0.25,10
200,300,90,300,300,300,300,150,-30,0.25,10
200,300,30,300,300,300,600,150,-30,0.25,10
200,300,60,300,300,300,600,150,-30,0.25,10
200,300,90,300,300,300,600,150,-30,0.25,10
200,300,30,300,300,300,900,150,-30,0.25,10
200,300,60,300,300,300,900,150,-30,0.25,10
200,300,90,300,300,300,900,150,-30,0.25,10
200,300,30,300,300,300,300,300,-30,0.25,10
200,300,60,300,300,300,300,300,-30,0.25,10
200,300,90,300,300,300,300,300,-30,0.25,10
200,300,30,300,300,300,600,300,-30,0.25,10
200,300,60,300,300,300,600,300,-30,0.25,10
200,300,90,300,300,300,600,300,-30,0.25,10
200,300,30,300,300,300,900,300,-30,0.25,10
200,300,60,300,300,300,900,300,-30,0.25,10
200,300,90,300,300,300,900,300,-30,0.25,10
200,300,30,300,300,300,300,450,-30,0.25,10
200,300,60,300,300,300,300,450,-30,0.25,10
200,300,90,300,300,300,300,450,-30,0.25,10
200,300,30,300,300,300,600,450,-30,0.25,10
200,300,60,300,300,300,600,450,-30,0.25,10
200,300,90,300,300,300,600,450,-30,0.25,10
200,300,30,300,300,300,900,450,-30,0.25,10
200,300,60,300,300,300,900,450,-30,0.25,10
200,300,90,300,300,300,900,450,-30,0.25,10
200,300,30,300,300,300,300,150,-50,0.25,10
200,300,60,300,300,300,300,150,-50,0.25,10
200,300,90,300,300,300,300,150,-50,0.25,10
200,300,30,300,300,300,600,150,-50,0.25,10
200,300,60,300,300,300,600,150,-50,0.25,10
200,300,90,300,300,300,600,150,-50,0.25,10
200,300,30,300,300,300,900,150,-50,0.25,10
200,300,60,300,300,300,900,150,-50,0.25,10
200,300,90,300,300,300,900,150,-50,0.25,10
200,300,30,300,300,300,300,300,-50,0.25,10
200,300,60,300,300,300,300,300,-50,0.25,10
200,300,90,300,300,300,300,300,-50,0.25,10
200,300,30,300,300,300,600,300,-50,0.25,10
200,300,60,300,300,300,600,300,-50,0.25,10
200,300,90,300,300,300,600,300,-50,0.25,10
200,300,30,300,300,300,900,300,-50,0.25,10
200,300,60,300,300,300,900,300,-50,0.25,10
200,300,90,300,300,300,900,300,-50,0.25,10
200,300,30,300,300,300,300,450,-50,0.25,10
200,300,60,300,300,300,300,450,-50,0.25,10
200,300,90,300,300,300,300,450,-50,0.25,10
200,300,30,300,300,300,600,450,-50,0.25,10
200,300,60,300,300,300,600,450,-50,0.25,10
200,300,90,300,300,300,600,450,-50,0.25,10
200,300,30,300,300,300,900,450,-50,0.25,10
200,300,60,300,300,300,900,450,-50,0.25,10
200,300,90,300,300,300,900,450,-50,0.25,10
200,300,30,300,300,300,300,150,-25,0.5,10
200,300,60,300,300,300,300,150,-25,0.5,10
200,300,90,300,300,300,300,150,-25,0.5,10
200,300,30,300,300,300,600,150,-25,0.5,10
200,300,60,300,300,300,600,150,-25,0.5,10
200,300,90,300,300,300,600,150,-25,0.5,10
200,300,30,300,300,300,900,150,-25,0.5,10
200,300,60,300,300,300,900,150,-25,0.5,10
200,300,90,300,300,300,900,150,-25,0.5,10
200,300,30,300,300,300,300,300,-25,0.5,10
200,300,60,300,300,300,300,300,-25,0.5,10
200,300,90,300,300,300,300,300,-25,0.5,10
200,300,30,300,300,300,600,300,-25,0.5,10
200,300,60,300,300,300,600,300,-25,0.5,10
200,300,90,300,300,300,600,300,-25,0.5,10
200,300,30,300,300,300,900,300,-25,0.5,10
200,300,60,300,300,300,900,300,-25,0.5,10
200,300,90,300,300,300,900,300,-10,0.5,10
200,300,30,300,300,300,300,450,-10,0.5,10
200,300,60,300,300,300,300,450,-10,0.5,10
200,300,90,300,300,300,300,450,-10,0.5,10
200,300,30,300,300,300,600,450,-10,0.5,10
200,300,60,300,300,300,600,450,-10,0.5,10
200,300,90,300,300,300,600,450,-10,0.5,10
200,300,30,300,300,300,900,450,-10,0.5,10
200,300,60,300,300,300,900,450,-10,0.5,10
200,300,90,300,300,300,900,450,-10,0.5,10
200,300,30,300,300,300,300,150,-30,0.5,10
200,300,60,300,300,300,300,150,-30,0.5,10
200,300,90,300,300,300,300,150,-30,0.5,10
200,300,30,300,300,300,600,150,-30,0.5,10
200,300,60,300,300,300,600,150,-30,0.5,10
200,300,90,300,300,300,600,150,-30,0.5,10
200,300,30,300,300,300,900,150,-30,0.5,10
200,300,60,300,300,300,900,150,-30,0.5,10
200,300,90,300,300,300,900,150,-30,0.5,10
200,300,30,300,300,300,300,300,-30,0.5,10
200,300,60,300,300,300,300,300,-30,0.5,10
200,300,90,300,300,300,300,300,-30,0.5,10
200,300,30,300,300,300,600,300,-30,0.5,10
200,300,60,300,300,300,600,300,-30,0.5,10
200,300,90,300,300,300,600,300,-30,0.5,10
200,300,30,300,300,300,900,300,-30,0.5,10
200,300,60,300,300,300,900,300,-30,0.5,10
200,300,90,300,300,300,900,300,-30,0.5,10
200,300,30,300,300,300,300,450,-30,0.5,10
200,300,60,300,300,300,300,450,-30,0.5,10
200,300,90,300,300,300,300,450,-30,0.5,10
200,300,30,300,300,300,600,450,-30,0.5,10
200,300,60,300,300,300,600,450,-30,0.5,10
